DATA,ALBUFEIRA DA BEMPOSTA (R.E.) (06S/01A),,ALBUFEIRA DA BOUÇÃ (R.E.) (14H/01A),,ALBUFEIRA DA VALEIRA (R.E.) (07M/02A),,
01/06/2000 00:00,401189.76,(vc),,,379183.68,(vc),
01/05/2001 00:00,617259,(vd),162190,,815210,(vd),
01/07/2001 00:00,330247,(vd),38837,(vd),404974,(vd),
01/08/2001 00:00,352745,,4018,,457203,,
01/09/2001 00:00,361925,,52877,(vd),471485,,
01/10/2001 00:00,466845,,128295,,705491,,
01/11/2001 00:00,330998,,75686,,750125,,
01/12/2001 00:00,263866,,80093,,526176,,
01/01/2002 00:00,253757,,61690,,473818,,
01/02/2002 00:00,251839,,17418,,460858,,
01/03/2002 00:00,393993,,36694,,844232,,
01/04/2002 00:00,354586,,27216,,639446,,
01/05/2002 00:00,234628,,8035,(vd),325693,,
01/06/2002 00:00,259459,,14515,,362880,,
01/07/2002 00:00,70442,(vd),90798,(vd),74460,(vd),
01/08/2002 00:00,79013,(vd),49015,,106868,(vd),
01/09/2002 00:00,137635,,57283,,213062,,
01/10/2002 00:00,160972,,67228,,222843,,
01/11/2002 00:00,321676,,154276,,675492,,
01/12/2002 00:00,1807142,,334109,,,,
01/01/2003 00:00,2412971,,566749,,,,
01/02/2003 00:00,1638766,,258854,,2173409,,
01/03/2003 00:00,1915056,,321944,,2295924,,
01/04/2003 00:00,1147219,,,,1696464,,
01/05/2003 00:00,952707,,179185,,1208762,,
01/06/2003 00:00,369084,(vd),117850,,480505,(vd),
01/07/2003 00:00,275011,(vd),103939,(vd),351734,(vd),
01/08/2003 00:00,166596,,84102,,211326,,
01/09/2003 00:00,391314,(vd),53032,(vd),534876,(vd),
01/10/2003 00:00,524431,(vd),23838,(vd),819055,(vd),
01/11/2003 00:00,766454,,136080,(vd),1470701,,
01/12/2003 00:00,1310273,(vd),303195,(vd),2025406,(vd),
01/01/2004 00:00,892443,(vd),253109,(vd),1154658,(vd),
01/02/2004 00:00,991716,,204958,,1374322,,
